recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-06-24 Mo. 08:00 ,2019-06-02749,,,,,,,,,,1.4,8.4,11.7,20.3,25.6,34.5,,,64.8,0.93,4.16,3.67,0.48,0.21,0.024,0.21,0.06,,,,0.53,64.3,13.0,2.0,4.8,6.8,1.2,0.0,
2019-06-24 Mo. 08:00 ,2019-06-02751,,,,,,,,,,1.4,8.3,11.3,19.7,24.4,31.8,,,65.1,0.96,4.20,3.68,0.49,0.23,0.022,0.22,0.06,,,,0.55,63.7,13.1,1.9,4.8,7.2,1.2,0.2,
2019-06-24 Mo. 08:00 ,2019-06-02752,,,,,,,,,,1.4,8.5,11.9,20.9,27.0,37.1,,,65.5,0.96,4.20,3.64,0.49,0.22,0.028,0.22,0.06,,,,0.54,64.8,12.5,2.3,4.8,7.5,1.2,0.0,
2019-06-24 Mo. 08:00 ,2019-06-02753,,,,,,,,,,1.4,8.4,11.5,19.9,24.8,32.6,,,62.9,0.89,4.05,3.63,0.46,0.21,0.023,0.20,0.06,,,,0.51,64.2,13.2,1.8,5.0,7.2,1.1,0.2,
2019-06-24 Mo. 08:00 ,2019-06-02754,,,,,,,,,,1.4,8.3,11.4,19.8,24.6,32.4,,,65.4,0.98,4.25,3.67,0.49,0.24,0.026,0.22,0.06,,,,0.56,64.8,12.8,2.3,4.5,7.3,1.1,0.0,
2019-06-24 Mo. 08:00 ,2019-06-02755,,,,,,,,,,1.4,8.3,11.3,19.8,24.6,32.3,,,65.2,0.98,4.25,3.68,0.49,0.23,0.025,0.22,0.06,,,,0.56,64.4,13.3,2.4,4.3,7.5,1.0,0.1,
2019-06-24 Mo. 08:00 ,2019-06-02748,,,,,,,,,,1.4,8.3,11.3,19.6,24.2,31.2,,,64.9,0.95,4.18,3.66,0.48,0.23,0.022,0.21,0.06,,,,0.55,63.6,13.7,1.9,4.8,7.0,1.2,0.1,
2019-06-24 Mo. 08:00 ,2019-06-02747,,,,,,,,,,1.4,8.4,11.5,19.9,24.7,32.6,,,65.1,0.96,4.23,3.70,0.49,0.23,0.023,0.22,0.06,,,,0.56,63.3,13.8,2.3,4.2,7.3,1.3,0.2,
2019-06-24 Mo. 08:00 ,2019-06-02746,,,,,,,,,,1.5,8.4,11.5,19.8,24.7,32.7,,,65.4,0.96,4.21,3.64,0.49,0.22,0.029,0.22,0.06,,,,0.54,65.1,12.2,1.9,5.0,7.2,1.1,0.2,
2019-06-24 Mo. 06:00 ,2019-06-02711,49.8,74.7,60.9,0.0,11.2,32.5,140,170,,1.4,8.3,10.9,18.0,21.3,25.9,0.6,1.3,64.8,0.93,4.19,3.69,0.49,0.22,0.033,0.22,0.06,,,,0.54,62.3,13.8,1.5,5.1,7.2,1.0,0.7,
2019-06-19 Mi. 07:00 ,2019-06-02212,48.0,70.5,61.5,0.0,10.9,32.5,130,170,1.5,1.4,8.2,11.0,18.9,23.3,29.4,0.3,0.8,64.8,1.05,4.26,3.63,0.50,0.23,0.024,0.22,0.06,,,,0.56,62.4,14.8,1.7,5.1,6.8,1.3,0.3,
2019-06-18 Di. 08:00 ,2019-06-02084,49.5,74.7,61.6,0.0,10.7,,,,,1.4,7.8,10.6,18.2,22.1,27.5,0.2,0.5,63.5,0.95,4.24,3.56,0.50,0.23,0.048,0.21,0.06,,,,0.56,61.9,15.0,1.4,4.8,8.2,0.8,0.2,
2019-06-17 Mo. 06:00 ,2019-06-01947,51.3,75.8,61.7,0.0,10.5,32.5,130,165,0.5,1.4,8.3,10.9,17.9,21.4,26.6,0.8,1.7,64.2,1.02,4.29,3.78,0.52,0.25,0.038,0.22,0.06,,,,0.59,60.8,13.9,1.8,4.7,7.4,0.1,0.9,
2019-06-13 Do. 07:00 ,2019-06-01479,48.2,71.5,61.3,0.0,10.8,32.5,110,145,1.0,1.4,8.1,11.0,19.1,23.4,29.8,0.2,0.6,64.6,0.99,4.32,3.64,0.52,0.26,0.051,0.22,0.06,,,,0.60,60.5,16.2,1.0,5.7,7.6,0.9,0.1,
2019-06-11 Di. 07:00 ,2019-06-01178,50.8,73.8,61.2,0.0,11.5,32.5,110,150,1.5,1.4,7.8,10.5,18.2,22.1,27.6,0.5,1.1,63.7,0.95,4.26,3.55,0.50,0.23,0.051,0.21,0.06,,,,0.56,61.2,15.7,1.4,5.3,8.2,1.0,0.0,
2019-06-06 Do. 06:00 ,2019-06-00646,49.0,74.7,61.0,0.0,11.0,32.5,135,160,1.5,1.4,8.3,11.0,18.3,21.8,26.7,0.6,1.3,64.7,1.05,4.30,3.64,0.53,0.25,0.043,0.21,0.06,,,,0.59,62.3,13.6,1.6,5.2,7.6,1.0,0.6,
